agency_cd,site_no,sample_dt,sample_tm,sample_end_dt,sample_end_tm,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,aqfr_cd,tu_id,body_part_id,hyd_cond_cd,samp_type_cd,hyd_event_cd,sample_lab_cm_tx,sample_start_time_datum_cd_reported,sample_end_time_datum_cd_reported,startDateTime,tz_cd,remark_cd_00631,result_va_00631,val_qual_tx_00631,meth_cd_00631,dqi_cd_00631,rpt_lev_va_00631,rpt_lev_cd_00631,lab_std_va_00631,prep_set_no_00631,prep_dt_00631,anl_set_no_00631,anl_dt_00631,result_lab_cm_tx_00631,anl_ent_cd_00631,remark_cd_00681,result_va_00681,val_qual_tx_00681,meth_cd_00681,dqi_cd_00681,rpt_lev_va_00681,rpt_lev_cd_00681,lab_std_va_00681,prep_set_no_00681,prep_dt_00681,anl_set_no_00681,anl_dt_00681,result_lab_cm_tx_00681,anl_ent_cd_00681,remark_cd_00608,result_va_00608,val_qual_tx_00608,meth_cd_00608,dqi_cd_00608,rpt_lev_va_00608,rpt_lev_cd_00608,lab_std_va_00608,prep_set_no_00608,prep_dt_00608,anl_set_no_00608,anl_dt_00608,result_lab_cm_tx_00608,anl_ent_cd_00608,remark_cd_00671,result_va_00671,val_qual_tx_00671,meth_cd_00671,dqi_cd_00671,rpt_lev_va_00671,rpt_lev_cd_00671,lab_std_va_00671,prep_set_no_00671,prep_dt_00671,anl_set_no_00671,anl_dt_00671,result_lab_cm_tx_00671,anl_ent_cd_00671,remark_cd_70953,result_va_70953,val_qual_tx_70953,meth_cd_70953,dqi_cd_70953,rpt_lev_va_70953,rpt_lev_cd_70953,lab_std_va_70953,prep_set_no_70953,prep_dt_70953,anl_set_no_70953,anl_dt_70953,result_lab_cm_tx_70953,anl_ent_cd_70953,remark_cd_00613,result_va_00613,val_qual_tx_00613,meth_cd_00613,dqi_cd_00613,rpt_lev_va_00613,rpt_lev_cd_00613,lab_std_va_00613,prep_set_no_00613,prep_dt_00613,anl_set_no_00613,anl_dt_00613,result_lab_cm_tx_00613,anl_ent_cd_00613,remark_cd_50624,result_va_50624,val_qual_tx_50624,meth_cd_50624,dqi_cd_50624,rpt_lev_va_50624,rpt_lev_cd_50624,lab_std_va_50624,prep_set_no_50624,prep_dt_50624,anl_set_no_50624,anl_dt_50624,result_lab_cm_tx_50624,anl_ent_cd_50624,remark_cd_63162,result_va_63162,val_qual_tx_63162,meth_cd_63162,dqi_cd_63162,rpt_lev_va_63162,rpt_lev_cd_63162,lab_std_va_63162,prep_set_no_63162,prep_dt_63162,anl_set_no_63162,anl_dt_63162,result_lab_cm_tx_63162,anl_ent_cd_63162,remark_cd_62360,result_va_62360,val_qual_tx_62360,meth_cd_62360,dqi_cd_62360,rpt_lev_va_62360,rpt_lev_cd_62360,lab_std_va_62360,prep_set_no_62360,prep_dt_62360,anl_set_no_62360,anl_dt_62360,result_lab_cm_tx_62360,anl_ent_cd_62360,remark_cd_62854,result_va_62854,val_qual_tx_62854,meth_cd_62854,dqi_cd_62854,rpt_lev_va_62854,rpt_lev_cd_62854,lab_std_va_62854,prep_set_no_62854,prep_dt_62854,anl_set_no_62854,anl_dt_62854,result_lab_cm_tx_62854,anl_ent_cd_62854
USGS,11303500,1972-03-15,11:40:00,NA,NA,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,PST,PST,1972-03-15T19:40:00Z,UTC,NA,1.4,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11303500,1972-04-12,12:15:00,NA,NA,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,PST,PST,1972-04-12T20:15:00Z,UTC,NA,1.8,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11303500,1972-06-23,07:45:00,NA,NA,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,PDT,PDT,1972-06-23T14:45:00Z,UTC,NA,0.22,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11303500,1972-07-20,08:45:00,NA,NA,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,PDT,PDT,1972-07-20T15:45:00Z,UTC,NA,0.79,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11303500,1972-08-10,11:00:00,NA,NA,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,PDT,PDT,1972-08-10T18:00:00Z,UTC,NA,0.61,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11303500,1972-09-21,08:30:00,NA,NA,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,PDT,PDT,1972-09-21T15:30:00Z,UTC,NA,0.64,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11303500,1972-10-19,07:00:00,NA,NA,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,PDT,PDT,1972-10-19T14:00:00Z,UTC,NA,0.9,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11303500,1972-11-15,09:30:00,NA,NA,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,PST,PST,1972-11-15T17:30:00Z,UTC,NA,1.3,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11303500,1972-12-14,08:30:00,NA,NA,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,PST,PST,1972-12-14T16:30:00Z,UTC,NA,0.86,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11303500,1973-01-24,10:35:00,NA,NA,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,PST,PST,1973-01-24T18:35:00Z,UTC,NA,1.1,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,11303500,1973-02-23,07:50:00,NA,NA,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,PST,PST,1973-02-23T15:50:00Z,UTC,NA,0.72,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
