Year,Month,Date,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2
1996,10,10/1/1996,14900,246,27,125,380,2110,2642,17788,204,6581,4122,44,10950,2115,0,0,2115,6456,-3228,8098,4722,0.6,73,15678,70,82.62
1996,10,10/2/1996,14700,229,27,114,348,2120,2609,17538,213,6608,4374,43,11237,2071,0,0,2071,6397,-3577,7952,4230,0.62,76,15418,73,82.84
1996,10,10/3/1996,14800,232,28,110,337,2160,2635,17667,206,6651,4252,46,11155,2026,0,0,2026,6426,-3410,8038,4486,0.62,75,15507,71,83.02
1996,10,10/4/1996,14500,235,29,98,305,2140,2572,17307,191,6611,4259,57,11118,1988,0,0,1988,6339,-3499,7840,4201,0.62,76,15167,72,83.22
1996,10,10/5/1996,14700,228,29,108,335,2140,2612,17540,184,6016,4252,43,10494,1959,0,0,1959,6397,-2759,7982,5087,0.58,71,15400,67,83.3
1996,10,10/6/1996,14500,225,27,109,320,2130,2586,17311,173,5866,4247,47,10333,1966,0,0,1966,6339,-2687,7836,5012,0.58,71,15181,67,83.37
1996,10,10/7/1996,13800,246,27,106,299,2140,2572,16618,178,6267,4154,44,10643,1918,0,0,1918,6133,-3184,7376,4057,0.63,76,14478,72,83.58
1996,10,10/8/1996,13500,244,27,104,304,2080,2515,16259,179,6665,3426,46,10316,1912,0,0,1912,6046,-2999,7163,4030,0.62,75,14179,72,83.78
1996,10,10/9/1996,13100,233,25,105,294,2000,2424,15757,171,6668,4366,50,11254,1925,0,0,1925,5928,-4153,6866,2578,0.7,84,13757,81,84.26
1996,10,10/10/1996,13400,234,24,103,315,1930,2372,16006,173,5995,4319,47,10534,1858,0,0,1858,6016,-3354,7098,3614,0.64,77,14076,74,84.5
1996,10,10/11/1996,13300,242,25,113,298,2030,2466,16008,170,5499,4313,32,10014,1857,0,0,1857,5987,-2768,7035,4137,0.61,74,13978,70,84.63
1996,10,10/12/1996,12600,215,25,117,315,2330,2787,15602,168,4702,4243,33,9146,1873,0,0,1873,5782,-1795,6509,4582,0.57,71,13272,65,84.69
1996,10,10/13/1996,12800,200,26,109,347,3090,3572,16572,164,4694,4243,37,9137,1867,0,0,1867,5840,-938,6637,5568,0.54,66,13482,59,84.63
1996,10,10/14/1996,12100,204,27,109,340,3380,3856,16160,147,5881,4292,41,10361,1835,0,0,1835,5635,-2063,6155,3964,0.63,75,12780,69,84.78
1996,10,10/15/1996,11500,223,27,114,315,3490,3946,15669,144,5393,4319,36,9892,1841,0,0,1841,5460,-1683,5748,3936,0.62,75,12179,68,84.93
1996,10,10/16/1996,11500,227,28,116,318,3500,3962,15689,162,5522,4275,32,9991,1842,0,0,1842,5460,-1767,5752,3855,0.62,75,12189,68,85.09
1996,10,10/17/1996,11300,205,28,115,344,3500,3987,15492,168,5742,4289,31,10230,1832,0,0,1832,5401,-2033,5591,3430,0.65,78,11992,71,85.31
1996,10,10/18/1996,10900,188,29,126,323,3460,3938,15026,165,5490,4308,30,9993,1764,0,0,1764,5284,-1918,5310,3269,0.65,78,11566,72,85.55
1996,10,10/19/1996,11800,182,33,127,334,3210,3704,15686,161,5180,4216,28,9585,1782,0,0,1782,5547,-1492,5936,4319,0.6,72,12476,65,85.6
1996,10,10/20/1996,11700,176,42,124,360,3170,3696,15572,158,5197,4180,27,9562,1765,0,0,1765,5518,-1495,5864,4245,0.6,73,12402,66,85.66
1996,10,10/21/1996,11400,182,44,126,368,3130,3668,15250,158,4485,4258,31,8932,1789,0,0,1789,5430,-997,5651,4529,0.57,70,12120,63,85.67
1996,10,10/22/1996,11500,192,40,127,356,2920,3443,15135,164,5296,4169,48,9677,1782,0,0,1782,5460,-1933,5733,3676,0.62,76,12215,70,85.82
1996,10,10/23/1996,11400,184,37,136,329,2840,3342,14926,161,3835,4225,48,8269,1736,0,0,1736,5430,-626,5668,4920,0.54,67,12086,59,85.77
1996,10,10/24/1996,11400,184,37,137,316,2850,3340,14924,166,5128,4235,40,9569,1736,0,0,1736,5430,-1927,5668,3619,0.63,76,12074,70,85.92
1996,10,10/25/1996,12000,167,40,134,243,2970,3387,15554,163,5272,4242,39,9716,1700,0,0,1700,5606,-1828,6085,4138,0.61,73,12584,67,85.98
1996,10,10/26/1996,12600,149,49,133,210,3010,3402,16151,157,4530,4262,36,8985,1715,0,0,1715,5782,-916,6487,5451,0.54,66,13141,59,85.85
1996,10,10/27/1996,11500,148,57,132,183,2830,3202,14850,162,4165,4405,45,8777,1720,0,0,1720,5460,-1233,5707,4353,0.58,71,12020,64,85.88
1996,10,10/28/1996,11200,136,51,133,146,2620,2950,14286,72,4455,4257,47,8830,1733,0,0,1733,5372,-1635,5479,3722,0.61,74,11666,68,86
1996,10,10/29/1996,11900,98,50,201,112,2570,2933,14931,133,5397,4185,41,9756,1685,0,0,1685,5577,-2341,5950,3491,0.64,77,12361,72,86.17
1996,10,10/30/1996,13000,50,49,205,125,2740,3119,16169,143,5904,3086,25,9158,1693,6877,0,-5184,5899,3230,8603,12195,0.56,25,13429,9,85.51
1996,10,10/31/1996,14100,25,72,180,199,2820,3271,17396,152,5256,4319,32,9759,1697,8482,0,-6785,6221,4143,9803,14422,0.55,17,14576,1,84.78
1996,11,11/1/1996,14600,50,87,176,217,2810,3290,17940,162,5101,4210,26,9499,1700,8482,0,-6782,6368,4567,10181,15223,0.52,15,15130,-1,84.06
1996,11,11/2/1996,13900,80,68,179,170,2810,3227,17207,171,6067,4233,31,10502,1700,8482,0,-6782,6163,3296,9716,13487,0.6,22,14397,6,83.46
1996,11,11/3/1996,14200,60,59,181,93,2750,3083,17343,170,5998,4206,36,10410,1700,8482,0,-6782,6251,3331,9908,13714,0.59,21,14593,6,82.87
1996,11,11/4/1996,14200,60,55,550,95,2630,3330,17590,166,5502,4195,31,9894,1700,1605,0,95,6251,-376,7983,7600,0.55,57,14960,49,82.71
1996,11,11/5/1996,13800,60,52,442,107,2550,3151,17011,152,5429,4183,34,9798,1700,0,0,1700,6133,-1619,7251,5512,0.57,68,14461,62,82.75
1996,11,11/6/1996,13400,60,50,293,121,2500,2964,16424,145,4895,4196,33,9269,1700,0,0,1700,6016,-1393,6968,5455,0.55,67,13924,61,82.81
1996,11,11/7/1996,13200,60,49,283,126,2400,2858,16118,144,5520,4182,35,9881,1700,0,0,1700,5958,-2170,6826,4538,0.6,72,13718,67,82.97
1996,11,11/8/1996,13100,60,49,274,121,2370,2814,15974,146,5994,4197,37,10374,1650,0,0,1650,5928,-2705,6770,3949,0.64,75,13604,71,83.22
1996,11,11/9/1996,13000,60,49,270,114,2310,2743,15803,131,5800,4197,30,10158,1700,0,0,1700,5899,-2620,6685,3946,0.63,75,13493,71,83.46
1996,11,11/10/1996,12900,78,49,271,114,2260,2694,15672,127,5485,4186,35,9833,1650,0,0,1650,5870,-2342,6646,4189,0.62,73,13412,69,83.64
1996,11,11/11/1996,12800,85,47,270,119,2240,2676,15561,129,5294,4195,35,9653,1650,0,0,1650,5840,-2209,6583,4258,0.61,73,13321,68,83.8
1996,11,11/12/1996,13100,81,45,268,123,2190,2626,15807,132,5566,4180,40,9917,1650,0,0,1650,4390,-3974,8329,4240,0.62,73,13617,69,83.96
1996,11,11/13/1996,13100,75,43,266,119,2240,2668,15843,130,5487,3267,38,8922,1650,0,0,1650,2571,-4756,10142,5270,0.55,67,13603,61,83.97
1996,11,11/14/1996,12900,75,43,262,119,2490,2914,15889,129,5827,4298,33,10287,1650,0,0,1650,2545,-5900,9968,3953,0.64,75,13399,70,84.16
1996,11,11/15/1996,12800,75,43,267,125,2540,2975,15850,128,5382,4262,38,9810,1700,0,0,1700,4048,-3892,8351,4340,0.61,73,13310,67,84.28
1996,11,11/16/1996,13200,75,43,276,125,2480,2924,16199,121,4970,4224,28,9343,1700,0,0,1700,5958,-1567,6841,5155,0.57,68,13719,62,84.29
1996,11,11/17/1996,13500,75,65,341,137,2580,3123,16698,122,5001,4155,30,9308,1700,2751,0,-1051,6046,544,7824,8441,0.55,49,14118,40,83.97
1996,11,11/18/1996,14600,47,541,291,759,2750,4341,18988,119,6088,4136,27,10370,1700,8482,0,-6782,6368,4747,10178,15400,0.54,19,16238,5,83.29
1996,11,11/19/1996,15400,0,426,296,504,2730,3956,19356,121,5189,4173,25,9508,1700,8711,0,-7011,6602,5607,10761,16859,0.48,13,16626,-1,82.58
1996,11,11/20/1996,16800,48,295,285,432,2600,3612,20460,120,5992,4171,20,10304,1750,9398,0,-7648,5038,3317,13952,17805,0.5,13,17860,0,81.88
1996,11,11/21/1996,17200,115,256,280,335,2420,3291,20606,119,6504,4172,25,10820,1750,9398,0,-7648,3117,559,16340,17434,0.52,15,18186,4,81.23
1996,11,11/22/1996,18800,29,594,325,532,2530,3981,22810,122,6509,4159,27,10818,1750,8252,0,-6502,3329,719,17320,18495,0.47,19,20280,9,80.58
1996,11,11/23/1996,20600,82,944,370,1304,2960,5578,26260,116,6502,4148,20,10786,1750,2980,0,-1230,3569,-840,17458,16704,0.41,36,23300,28,80.03
1996,11,11/24/1996,20900,65,461,368,669,3300,4798,25763,118,6494,4123,25,10760,1750,2751,0,-1001,3609,-1703,17637,16004,0.41,38,22463,29,79.53
1996,11,11/25/1996,21600,43,304,367,441,3450,4562,26205,123,6424,4139,26,10712,1800,2063,0,-263,3702,-2277,18015,15756,0.4,40,22755,31,79.08
1996,11,11/26/1996,20000,0,239,367,366,3500,4472,24472,110,6499,3388,24,10021,1800,2063,0,-263,3489,-1889,16585,14714,0.4,40,20972,30,78.69
1996,11,11/27/1996,18700,88,200,409,323,3450,4382,23170,123,6392,4306,20,10841,1850,458,0,1392,3316,-4047,15082,10938,0.46,53,19720,45,78.52
1996,11,11/28/1996,17800,79,174,433,311,3330,4248,22127,110,6478,4081,26,10696,1900,0,0,1900,3196,-4486,14151,9531,0.48,57,18797,49,78.44
1996,11,11/29/1996,17800,70,166,436,298,3190,4090,21960,115,6410,4076,25,10626,1900,0,0,1900,3196,-4575,14142,9434,0.48,57,18770,50,78.38
1996,11,11/30/1996,17100,63,156,434,283,3090,3963,21126,117,6240,4080,20,10457,1950,0,0,1950,3103,-4658,13514,8719,0.49,59,18036,52,78.37
1996,12,12/1/1996,15800,38,149,441,274,3030,3894,19732,112,6495,4060,25,10692,2000,0,0,2000,2930,-5168,12348,7040,0.53,64,16702,58,78.49
1996,12,12/2/1996,15400,0,206,435,279,2980,3900,19300,102,4856,4098,26,9082,2000,458,0,1542,2877,-3307,12091,8676,0.46,55,16320,47,78.48
1996,12,12/3/1996,14900,52,192,436,289,2950,3867,18819,94,5239,4073,25,9431,2000,688,0,1312,2811,-3606,11774,8076,0.49,57,15869,49,78.51
1996,12,12/4/1996,16500,88,167,508,224,3180,4079,20667,96,4160,4093,19,8368,2050,688,0,1362,3024,-2151,13183,10937,0.4,47,17487,37,78.35
1996,12,12/5/1996,21200,46,2950,550,2130,4190,9820,31066,103,5492,4101,21,9717,2100,1375,0,725,3649,3280,17395,20624,0.31,34,26876,23,77.79
1996,12,12/6/1996,39500,57,1760,747,2115,5190,9812,49369,111,6483,4102,27,10723,2100,3438,0,-1338,6083,6042,33849,39985,0.21,19,44179,9,76.82
1996,12,12/7/1996,41800,65,965,873,1181,6580,9599,51464,105,6628,4104,23,10860,2150,3668,0,-1518,6388,6114,35902,42122,0.21,18,44884,6,75.88
1996,12,12/8/1996,40700,65,653,889,850,7570,9962,50727,103,6570,4128,21,10822,2150,3438,0,-1288,6242,6220,34884,41194,0.21,19,43157,5,75.01
1996,12,12/9/1996,38700,65,594,921,820,8090,10425,49190,99,6493,4134,26,10752,2150,3438,0,-1288,5976,6487,33150,39727,0.22,19,41100,3,74.2
1996,12,12/10/1996,42000,38,2640,1180,2261,8520,14601,56639,97,6583,3912,21,10613,2200,5043,0,-2843,6415,12251,36419,48869,0.19,14,48119,-2,73.31
1996,12,12/11/1996,50200,26,2530,1530,3654,9460,17174,67400,105,3928,4139,24,8196,2200,6877,0,-4677,7506,19524,44030,63881,0.12,5,61953,-3,72.29
1996,12,12/12/1996,59600,1605,7020,1640,4383,11300,24343,85548,100,5723,4195,21,10039,2200,6189,0,-3989,8756,25653,53566,79498,0.12,7,78801,-1,71.19
1996,12,12/13/1996,80000,3525,5440,1670,5388,11700,24198,107723,94,6331,4137,23,10584,2200,8023,0,-5823,11469,28868,73686,102962,0.1,4,100991,-2,69.98
